symbol	overallAssociationScore	geneticAssociations	somaticMutations	drugs	pathwaysSystemsBiology	textMining	rnaExpression	animalModels	targetName
SLC2A2	0.6952515800467007	0.8258364647207252	0.19892846655180269	No data	No data	0.6551982085302223	0.01451421064690412	0.3324621549438553	solute carrier family 2 member 2
ACE	0.6636240492429032	0.6209215612804907	No data	0.9164201960506672	No data	0.8982262620596695	No data	No data	angiotensin I converting enzyme
CALCR	0.6604624095988949	0.6108254795272562	No data	0.9321941479222045	No data	0.06794977620637892	No data	No data	calcitonin receptor
TCF7L2	0.6536599015416299	0.7777101799588112	No data	No data	No data	0.9577074940424511	No data	0.5317756443341453	transcription factor 7 like 2
MT-ND1	0.653654245904015	0.3039653988058105	No data	0.9992202508162835	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1
NEUROD1	0.6475604669530413	0.7797102077510919	No data	No data	No data	0.3132455716926036	No data	No data	neuronal differentiation 1
DPP4	0.647409334280484	No data	No data	0.998365083402234	No data	0.9830525588087061	No data	0.7839667687440616	dipeptidyl peptidase 4
SLC5A2	0.6359122025936543	No data	No data	0.9970301875733266	No data	0.9799419781449267	No data	No data	solute carrier family 5 member 2
CDKAL1	0.6342470841884982	0.7582288412385533	No data	No data	No data	0.9003674053598941	No data	No data	CDK5 regulatory subunit associated protein 1 like 1
NDUFS3	0.6244304749662203	0.10087420361720388	No data	0.9992202508162835	No data	0.12158615952232422	No data	No data	NADH:ubiquinone oxidoreductase core subunit S3
HMGCR	0.6220757044098277	0.12826824437655646	No data	0.9829049493827801	No data	0.37328792127676663	No data	No data	3-hydroxy-3-methylglutaryl-CoA reductase
NDUFS4	0.6188489533798833	0.07495714549229972	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S4
PDE3A	0.6169492023389737	0.5975102108580291	No data	0.865457038266544	No data	No data	No data	No data	phosphodiesterase 3A
GIPR	0.6149637073035805	0.5811795498737627	No data	0.850602922863134	No data	0.11200535409823416	No data	0.6421826319670558	gastric inhibitory polypeptide receptor
SLC30A8	0.6138657506416445	0.7881682858207054	No data	No data	No data	0.8234354749619899	No data	0.5002898951078434	solute carrier family 30 member 8
NDUFA13	0.6127497737114326	0.03482639579241567	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A13
NDUFS5	0.6127350675050446	0.03472963342113356	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S5
ENPP1	0.6126712044177625	0.7255175181260642	0.24452327637267426	No data	No data	0.5981352018219069	No data	No data	ectonucleotide pyrophosphatase/phosphodiesterase 1
MT-ND2	0.6095818482328643	No data	No data	0.9992202508162835	No data	0.06991204172533642	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2
NDUFC2	0.6091198734145085	No data	No data	0.9992202508162835	No data	0.0547137717850459	No data	No data	NADH:ubiquinone oxidoreductase subunit C2
MT-ND4	0.6085603705789441	No data	No data	0.9992202508162835	No data	0.03630697819069404	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4
PAX4	0.608207416862674	0.7318733839074381	No data	No data	No data	0.3435218320418148	No data	No data	paired box 4
NDUFB6	0.6081035288141255	No data	No data	0.9992202508162835	No data	0.021277577916406734	No data	No data	NADH:ubiquinone oxidoreductase subunit B6
MT-ND3	0.607826343923112	No data	No data	0.9992202508162835	No data	0.012158615952232422	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3
NDUFB5	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B5
NDUFB7	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B7
NDUFC1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit C1
NDUFV1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit V1
NDUFAB1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit AB1
NDUFA12	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A12
NDUFV2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit V2
NDUFB10	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B10
NDUFS1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S1
NDUFA2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A2
NDUFA5	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A5
NDUFA1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A1
NDUFS2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S2
NDUFAF3	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 3
NDUFA3	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A3
NDUFA8	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A8
NDUFB2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B2
NDUFA11	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A11
NDUFA10	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A10
NDUFB4	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B4
NDUFS7	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S7
NDUFA9	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A9
NDUFB3	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B3
NDUFV3	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit V3
NDUFA4L2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated like 2
NDUFB11	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B11
NDUFB9	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B9
NDUFAF2	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 2
NDUFA7	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A7
NDUFAF4	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 4
MT-ND4L	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L
NDUFS6	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit S6
NDUFA4	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NDUFA4 mitochondrial complex associated
NDUFA6	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit A6
NDUFAF1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase complex assembly factor 1
NDUFB1	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B1
NDUFS8	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase core subunit S8
MT-ND6	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6
MT-ND5	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5
NDUFB8	0.6074567640684273	No data	No data	0.9992202508162835	No data	No data	No data	No data	NADH:ubiquinone oxidoreductase subunit B8
PPARA	0.6066064830190159	No data	No data	0.9630530509160009	No data	0.43406153672301157	No data	0.5024548042260049	peroxisome proliferator activated receptor alpha
KCNQ1	0.6041106231181107	0.782601669920226	No data	No data	No data	0.6958807036016167	No data	No data	potassium voltage-gated channel subfamily Q member 1
MGAM	0.6022993343698718	No data	No data	0.9890809086761119	No data	0.033115238113641594	No data	No data	maltase-glucoamylase
AMY2A	0.5995853460777166	No data	No data	0.9862723659227478	No data	No data	No data	No data	amylase alpha 2A
AGTR1	0.5924039634682631	No data	No data	0.9526784270106344	No data	0.43562219648437367	No data	No data	angiotensin II receptor type 1
INS	0.5871819067629153	0.7489168381346394	No data	No data	No data	0.9267022486877659	No data	0.7304175287237813	insulin
PTGS2	0.5819050000846623	No data	No data	0.9423678258618575	No data	0.28950944612094187	0.015580850390104721	No data	prostaglandin-endoperoxide synthase 2
GAA	0.5768562098156504	No data	No data	0.9444771643827812	No data	0.08814996565368505	No data	No data	alpha glucosidase
PTGS1	0.5736335837290977	No data	No data	0.9423678258618575	No data	0.024317231904464845	No data	No data	prostaglandin-endoperoxide synthase 1
SI	0.5691186124819014	0.04494751879197886	No data	0.9214952334868965	No data	0.15411552328452607	No data	No data	sucrase-isomaltase
VDR	0.5681300620259148	No data	No data	0.898411624469449	No data	0.7223837537073883	No data	No data	vitamin D receptor
DRD2	0.5673115275329318	No data	No data	0.9232931914569985	No data	0.19782387221451847	No data	No data	dopamine receptor D2
DRD3	0.5639778202582963	No data	No data	0.9232931914569985	No data	0.08814996565368505	No data	No data	dopamine receptor D3
MGAM2	0.5620532315624195	No data	No data	0.9214952334868965	No data	0.06079307976116211	No data	No data	maltase-glucoamylase 2 (putative)
DRD4	0.5612983663118323	No data	No data	0.9232931914569985	No data	No data	No data	No data	dopamine receptor D4
MTNR1B	0.5574729473439874	0.8655903971497949	No data	No data	No data	0.7390194859833245	No data	0.650668332683718	melatonin receptor 1B
IRS1	0.5503552344634003	0.6285704930004918	No data	No data	No data	0.8844286523116004	No data	0.6078966015042555	insulin receptor substrate 1
GLIS3	0.5433660645014017	0.8687903980839319	No data	No data	No data	0.5001103710041288	No data	No data	GLIS family zinc finger 3
JAZF1	0.5340801537147146	0.8439235068775244	No data	No data	No data	0.6919558324104487	No data	No data	JAZF zinc finger 1
SLC12A3	0.5322232664216315	No data	No data	0.867426619556406	No data	0.16080480687461773	No data	No data	solute carrier family 12 member 3
CACNA1C	0.5270564898865617	No data	No data	0.8537454099812628	No data	0.26444989696105514	No data	No data	calcium voltage-gated channel subunit alpha1 C
CACNA1D	0.5259836816972687	No data	No data	0.8537454099812628	No data	0.22915613676638047	No data	No data	calcium voltage-gated channel subunit alpha1 D
CDKN2B	0.5243599671678107	0.8293827430379502	No data	No data	No data	0.6629917334870762	No data	No data	cyclin dependent kinase inhibitor 2B
IGF2BP2	0.5242902384704078	0.8206397109638293	No data	No data	No data	0.8355584067192658	No data	No data	insulin like growth factor 2 mRNA binding protein 2
HTR3B	0.5231089665390022	0.3871134045490931	No data	0.7599134970145264	No data	0.17022062333125393	No data	No data	5-hydroxytryptamine receptor 3B
CACNA1S	0.5190181280471695	No data	No data	0.8537454099812628	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 S
CACNA1F	0.5190181280471695	No data	No data	0.8537454099812628	No data	No data	No data	No data	calcium voltage-gated channel subunit alpha1 F
BCL2	0.5188199387365752	0.8466816837489597	No data	No data	No data	0.13475439731008781	No data	No data	BCL2 apoptosis regulator
RASGRP1	0.518542020311855	0.8487067333257263	No data	No data	No data	0.08511031166562696	No data	No data	RAS guanyl releasing protein 1
RFX6	0.517578835734793	0.8323150874604474	No data	No data	No data	0.07117856422036063	No data	0.3496210017064432	regulatory factor X6
ADCY5	0.5152892959542357	0.8314977799471399	No data	No data	No data	0.3222796876606663	No data	No data	adenylate cyclase 5
CMIP	0.5152096017152188	0.8457328723152878	No data	No data	No data	0.03495602086266821	No data	No data	c-Maf inducing protein
TLE1	0.5148409028618631	0.8433785896548319	No data	No data	No data	0.06991204172533642	No data	No data	TLE family member 1, transcriptional corepressor
DGKB	0.5133351211910334	0.8424911788762454	No data	No data	No data	0.03812232710022874	No data	No data	diacylglycerol kinase beta
NPC1L1	0.5119630602287517	No data	No data	0.8386574222718315	No data	0.06965873722633158	No data	No data	NPC1 like intracellular cholesterol transporter 1
ETS1	0.511696455017164	0.8373703068712641	No data	No data	No data	0.08663013865965599	No data	No data	ETS proto-oncogene 1, transcription factor
LAMA1	0.5072328268655116	0.8237206954737061	No data	No data	No data	0.21277577916406737	No data	No data	laminin subunit alpha 1
HHEX	0.5057415648457589	0.7952251791576205	No data	No data	No data	0.7336258497589265	No data	No data	hematopoietically expressed homeobox
NFATC2	0.5035183397179736	0.8282494351267399	No data	No data	No data	No data	No data	No data	nuclear factor of activated T cells 2
PAM	0.5030730454288038	0.6482902731373538	No data	No data	No data	0.06079307976116211	No data	0.7377392211716423	peptidylglycine alpha-amidating monooxygenase
CCND2	0.5018817848423148	0.8179582916548238	No data	No data	No data	0.15198269940290526	No data	No data	cyclin D2
HMGA2	0.5017618434201496	0.8154718895348592	No data	No data	No data	0.197764851163449	No data	No data	high mobility group AT-hook 2
EDNRA	0.5005245635018858	No data	No data	0.8147961384655754	No data	0.1705752422482806	No data	No data	endothelin receptor type A
TFAP2B	0.4994525962538765	0.8136180563683332	No data	No data	No data	0.15887078968958548	No data	No data	transcription factor AP-2 beta
EDNRB	0.49700277569432727	No data	No data	0.8147961384655754	No data	0.0547137717850459	No data	No data	endothelin receptor type B
MC4R	0.49486250424845074	0.7912181274168771	No data	No data	No data	0.4558623125386638	No data	No data	melanocortin 4 receptor
WSCD2	0.494840721368065	0.8139754118596174	No data	No data	No data	No data	No data	No data	WSC domain containing 2
KSR2	0.4946837969095475	0.6505415200879254	No data	No data	No data	0.024317231904464845	No data	No data	kinase suppressor of ras 2
RREB1	0.4941443972854734	0.8108711234921642	No data	No data	No data	0.03917776251274891	No data	No data	ras responsive element binding protein 1
ANKH	0.49360180064505604	0.808897827357303	No data	No data	No data	0.06079307976116211	No data	No data	ANKH inorganic pyrophosphate transport regulator
PROX1	0.49359736049371394	0.8010497951876835	No data	No data	No data	0.21760764891748574	No data	No data	prospero homeobox 1
PNPLA3	0.4922957377289861	0.7744533801232625	No data	No data	No data	0.7067145379714361	No data	No data	patatin like phospholipase domain containing 3
ARL15	0.4893845220512039	0.7999310797857679	No data	No data	No data	0.10138597007501807	No data	No data	ADP ribosylation factor like GTPase 15
LRMDA	0.48653597466077314	0.8003147341312992	No data	No data	No data	No data	No data	No data	leucine rich melanocyte differentiation associated
NUS1	0.4855786538204429	0.7987400140412967	No data	No data	No data	No data	No data	No data	NUS1 dehydrodolichyl diphosphate synthase subunit
UBE2E2	0.4829529691077724	0.7745736309546254	No data	No data	No data	0.3969466222142565	No data	No data	ubiquitin conjugating enzyme E2 E2
LRFN2	0.48292244349365215	0.7943707497480149	No data	No data	No data	No data	No data	No data	leucine rich repeat and fibronectin type III domain containing 2
NEUROG3	0.4806283863352251	0.7527476819265126	No data	No data	No data	0.1604025335682461	No data	0.6857003448960876	neurogenin 3
ACSL1	0.4778904940315136	0.7685872840434176	No data	No data	No data	0.35012581861820147	No data	No data	acyl-CoA synthetase long chain family member 1
FBXW7	0.477850865976839	0.7822288223483964	No data	No data	No data	0.07599134970145263	No data	No data	F-box and WD repeat domain containing 7
HIVEP2	0.47706440595207805	0.7832148958170572	No data	No data	No data	0.030396539880581056	No data	No data	HIVEP zinc finger 2
NOS2	0.4765099179239963	0.6282457863754711	No data	0.607930797611621	No data	0.161736584873008	No data	No data	nitric oxide synthase 2
C2CD4A	0.4760834139053985	0.7700592129752797	No data	No data	No data	0.26123704817575233	No data	No data	C2 calcium dependent domain containing 4A
UBE3C	0.47385492157007547	0.7779355377147671	No data	No data	No data	0.030396539880581056	No data	No data	ubiquitin protein ligase E3C
CCND1	0.47189061354367356	0.7749788133745925	No data	No data	No data	0.024908275735476142	No data	No data	cyclin D1
RNF6	0.47173700538315577	0.7759715534012587	No data	No data	No data	No data	No data	No data	ring finger protein 6
ST6GAL1	0.47101610773377584	0.7728606173155864	No data	No data	No data	0.038502283848736	No data	No data	ST6 beta-galactoside alpha-2,6-sialyltransferase 1
PNLIP	0.4707123249006193	No data	No data	0.7599134970145264	No data	0.05612889958615294	No data	0.262504518408698	pancreatic lipase
SLC5A1	0.46854406083099714	0.41631653550931574	No data	0.6604749998005431	No data	0.27743707733711587	No data	No data	solute carrier family 5 member 1
SLC12A8	0.46833631358859584	0.7703776736242837	No data	No data	No data	No data	No data	No data	solute carrier family 12 member 8
SLC1A2	0.46811268059974326	0.7700098143387676	No data	No data	No data	No data	No data	No data	solute carrier family 1 member 2
HTR3D	0.4677752344556329	0.03816497616204882	No data	0.7599134970145264	No data	No data	No data	No data	5-hydroxytryptamine receptor 3D
LIPF	0.4665996077330886	0.030429709403641297	No data	0.7599134970145264	No data	No data	No data	No data	lipase F, gastric type
GP2	0.4657943880065079	0.7652845028616254	No data	No data	No data	0.01823792392834863	No data	No data	glycoprotein 2
HTR3A	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	5-hydroxytryptamine receptor 3A
HTR4	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	5-hydroxytryptamine receptor 4
HTR3C	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	5-hydroxytryptamine receptor 3C
HTR3E	0.4619748183558772	No data	No data	0.7599134970145264	No data	No data	No data	No data	5-hydroxytryptamine receptor 3E
GPSM1	0.46171569866681683	0.7564476108137257	No data	No data	No data	0.06079307976116211	No data	No data	G protein signaling modulator 1
EYA2	0.4616470503208563	0.7593743434853605	No data	No data	No data	No data	No data	No data	EYA transcriptional coactivator and phosphatase 2
RGS17	0.4614680339981145	0.7408419512993661	No data	No data	No data	0.36475847856697263	No data	No data	regulator of G protein signaling 17
ETV1	0.46043816974759777	0.7573858267364018	No data	No data	No data	No data	No data	No data	ETS variant transcription factor 1
NRXN3	0.45966582993925276	0.7561153863978315	No data	No data	No data	No data	No data	No data	neurexin 3
SLC22A3	0.45918984254023326	0.7478852709989017	No data	No data	No data	0.14894304541484715	No data	No data	solute carrier family 22 member 3
PARP8	0.45801737201669024	0.7534037982877393	No data	No data	No data	No data	No data	No data	poly(ADP-ribose) polymerase family member 8
ZMIZ1	0.4577325957789792	0.7368251968639397	No data	No data	No data	0.3222033227341592	No data	No data	zinc finger MIZ-type containing 1
PLEKHA1	0.45752116972599677	0.751979652400116	No data	No data	No data	0.012158615952232422	No data	No data	pleckstrin homology domain containing A1
IGF2	0.4574425584887933	0.5893646584587007	No data	No data	No data	0.7088602773756175	No data	No data	insulin like growth factor 2
XDH	0.4572949367199905	No data	No data	0.7143186871936548	No data	0.7579351977553291	No data	No data	xanthine dehydrogenase
ITGA1	0.45694525155675336	0.7443450719692357	No data	No data	No data	0.14590339142678904	No data	No data	integrin subunit alpha 1
FTO	0.4553724905354556	0.7237527250364227	No data	No data	No data	0.5060088809748038	No data	No data	FTO alpha-ketoglutarate dependent dioxygenase
TSPAN8	0.4552476679539187	0.7421258336939995	No data	No data	No data	0.13444023445402167	No data	No data	tetraspanin 8
ADAMTS9	0.4535764952840139	0.729201694486766	No data	No data	No data	0.3379439757053134	No data	No data	ADAM metallopeptidase with thrombospondin type 1 motif 9
SLC16A11	0.4535610308235892	0.5947487758324038	No data	No data	No data	0.1186868528276697	No data	No data	solute carrier family 16 member 11
LNX1	0.4535214400112701	0.7460083315288857	No data	No data	No data	No data	No data	No data	ligand of numb-protein X 1
IGF1R	0.45247591978166346	0.7312670902777051	No data	No data	No data	0.2604287972614324	No data	No data	insulin like growth factor 1 receptor
KLHL42	0.45042414891969423	0.7375699034832991	No data	No data	No data	0.06687238773727831	No data	No data	kelch like family member 42
ZNF236	0.44867621560163623	0.7380383052879561	No data	No data	No data	No data	No data	No data	zinc finger protein 236
BCL2L11	0.44733112027434097	0.7100646580630232	No data	No data	No data	0.5152213509758488	No data	No data	BCL2 like 11
KLF14	0.446631440093219	0.7227427037903453	No data	No data	No data	0.23864202104822338	No data	No data	KLF transcription factor 14
P2RY12	0.44109191376468515	No data	No data	0.7210734738337838	No data	0.08978461663901623	No data	No data	purinergic receptor P2Y12
AUTS2	0.4399487866072543	0.7236823472929517	No data	No data	No data	No data	No data	No data	activator of transcription and developmental regulator AUTS2
CASR	0.4398250326950029	0.7156298116175389	No data	No data	No data	0.15697939773555364	No data	No data	calcium sensing receptor
QSER1	0.43963792206255936	0.7231709987218377	No data	No data	No data	No data	No data	No data	glutamine and serine rich 1
PDX1	0.43945405160989964	0.6730871334380253	No data	No data	No data	0.2556820983701716	No data	0.8819917588562977	pancreatic and duodenal homeobox 1
STEAP2	0.4388821195428722	0.7219277609673819	No data	No data	No data	No data	No data	No data	STEAP2 metalloreductase
BEND7	0.43803359378573714	0.7205320005280874	No data	No data	No data	No data	No data	No data	BEN domain containing 7
NKX6-3	0.43789211718040216	0.7190046900765248	No data	No data	No data	No data	0.025891843570881	No data	NK6 homeobox 3
SPHKAP	0.4370425008083541	0.7179898316406388	No data	No data	No data	0.01823792392834863	No data	No data	SPHK1 interactor, AKAP domain containing
PPIP5K2	0.4331772807617409	0.7125437343585246	No data	No data	No data	No data	No data	No data	diphosphoinositol pentakisphosphate kinase 2
NOS1	0.43257862776904865	0.4041296312275369	No data	0.607930797611621	No data	0.11681056010785823	No data	No data	nitric oxide synthase 1
BDNF	0.4325068485425014	0.6720173363928756	No data	No data	No data	0.7884717574599555	No data	No data	brain derived neurotrophic factor
TET2	0.432011311750623	0.7028071383349298	No data	No data	No data	0.15637331071898922	No data	No data	tet methylcytosine dioxygenase 2
MYC	0.4317536374738805	0.7007536914387643	No data	No data	No data	0.18896515625761223	No data	No data	MYC proto-oncogene, bHLH transcription factor
PURG	0.4308697914974531	0.7087480897335883	No data	No data	No data	No data	No data	No data	purine rich element binding protein G
KL	0.4273722097731846	0.6678653638498665	No data	No data	No data	0.7025893905905799	No data	No data	klotho
TRIM66	0.4270343919564376	0.7024391487224014	No data	No data	No data	No data	No data	No data	tripartite motif containing 66
NKX6-1	0.4256333898532049	0.7001346066450189	No data	No data	No data	No data	No data	No data	NK6 homeobox 1
LPL	0.4254228383710803	0.6892262114784655	No data	No data	No data	0.21124107932571096	No data	No data	lipoprotein lipase
SSPN	0.4251770118651943	0.6993838995089376	No data	No data	No data	No data	No data	No data	sarcospan
NOTCH2	0.4248477014112966	0.693883410080035	No data	No data	No data	0.09917597475610185	No data	No data	notch receptor 2
LRRC74A	0.42484569568357544	0.69883890954804	No data	No data	No data	No data	No data	No data	leucine rich repeat containing 74A
KIF11	0.4248149374475896	0.6676224941108323	No data	No data	No data	0.6233164094915837	No data	No data	kinesin family member 11
GIGYF1	0.4245847876604387	0.5574316200261725	No data	No data	No data	0.07290947829689372	No data	No data	GRB10 interacting GYF protein 1
RICTOR	0.42419118350394414	0.6971543559140748	No data	No data	No data	0.012158615952232422	No data	No data	RPTOR independent companion of MTOR complex 2
BEND3	0.4239042908850627	0.6972903701382729	No data	No data	No data	No data	No data	No data	BEN domain containing 3
TNS1	0.42125467598930866	0.6891323873431624	No data	No data	No data	0.07599134970145263	No data	No data	tensin 1
KCNK17	0.4200960289472437	0.6888729801821607	No data	No data	No data	0.043061764830823156	No data	No data	potassium two pore domain channel subfamily K member 17
PDE8B	0.4189124535872561	0.32459351686979776	No data	0.607930797611621	No data	No data	No data	No data	phosphodiesterase 8B
ZBTB38	0.4180317663095762	0.6867186169341863	No data	No data	No data	0.01823792392834863	No data	No data	zinc finger and BTB domain containing 38
TCF4	0.4169027537195504	0.677764729239236	No data	No data	No data	0.1601728782040618	No data	No data	transcription factor 4
PDGFC	0.41609756187547287	0.6844488937066459	No data	No data	No data	No data	No data	No data	platelet derived growth factor C
LCORL	0.4158415224983638	0.6840277283731655	No data	No data	No data	No data	No data	No data	ligand dependent nuclear receptor corepressor like
ZEB2	0.4152974067829042	0.6831326993376285	No data	No data	No data	No data	No data	No data	zinc finger E-box binding homeobox 2
LIPC	0.41429856427228223	0.4987974729251956	No data	No data	No data	0.20567173281903173	No data	No data	lipase C, hepatic type
SEC16B	0.4136192225921691	0.675757850150062	No data	No data	No data	0.09228727247076414	No data	No data	SEC16 homolog B, endoplasmic reticulum export factor
SINHCAF	0.41299556901523327	0.6793463509954912	No data	No data	No data	No data	No data	No data	SIN3-HDAC complex associated factor
MYO5C	0.412062484551653	0.6778114979048993	No data	No data	No data	No data	No data	No data	myosin VC
TPCN2	0.4118322202631349	0.6465211382730777	No data	No data	No data	0.618231847237818	No data	No data	two pore segment channel 2
SPRED2	0.4111298531322701	0.6762773900376108	No data	No data	No data	No data	No data	No data	sprouty related EVH1 domain containing 2
PPP1R3A	0.4104577161770143	0.5262823140990603	No data	No data	No data	0.21399134981357903	No data	0.6589796079223654	protein phosphatase 1 regulatory subunit 3A
